"code_lac" "camp_annee" "id_campagne" "date_pose"
"ABB39" 2010 201 "2010-07-27"
"ABB39" 2014 362 "2014-09-22"
"AIG15" 2010 258 "2010-06-28"
"AIG15" 2017 482 "2017-08-28"
"AIG73" 2009 118 "2009-10-19"
"AIG73" 2014 348 "2014-09-29"
"AIL02" 2010 202 "2010-09-28"
"ALE2B" 2008 72 "2008-06-14"
"ALE2B" 2016 485 "2016-06-07"
"ALL01" 2010 203 "2010-07-07"
"ALZ81" 2011 259 "2011-09-19"
"ALZ81" 2017 471 "2017-09-18"
"AMA10" 2011 260 "2011-09-19"
"AMA10" 2017 480 "2017-09-25"
"ANG85" 2008 106 "2008-09-23"
"ANG85" 2011 370 "2011-08-22"
"ANN74" 2007 329 "2007-10-14"
"ANN74" 2009 330 "2009-10-10"
"ANN74" 2010 204 "2010-10-18"
"ANN74" 2016 439 "2016-09-12"
"ANT74" 2007 7 "2007-09-02"
"APR85" 2007 25 "2007-08-27"
"ARD62" 2011 262 "2011-08-18"
"ARD62" 2018 503 "2018-09-24"
"ARG19" 2016 460 "2016-06-28"
"ARJ40" 2013 336 "2013-09-02"
"ARZ56" 2007 27 "2007-10-08"
"AST32" 2010 205 "2010-06-15"
"AST32" 2017 472 "2017-06-12"
"AUD62" 2009 120 "2009-09-28"
"AUD62" 2016 453 "2016-09-12"
"AUL13" 2011 263 "2011-07-04"
"AUL13" 2015 418 "2015-07-01"
"AUM44" 2008 105 "2008-10-01"
"AUR40" 2008 68 "2008-09-08"
"AUR40" 2015 445 "2015-09-08"
"AVE34" 2009 264 "2009-07-20"
"AYD63" 2005 29 "2005-09-27"
"AYD63" 2011 265 "2011-09-12"
"AYD63" 2017 481 "2017-09-12"
"AYG64" 2011 266 "2011-06-12"
"AYG64" 2016 475 "2016-06-13"
"BAG12" 2011 267 "2011-06-28"
"BAG12" 2017 473 "2017-06-19"
"BAI08" 2008 64 "2008-08-19"
"BAI08" 2014 409 "2014-09-08"
"BAR32" 2011 268 "2011-07-04"
"BAR32" 2017 492 "2017-07-05"
"BCL12" 2010 269 "2010-09-20"
"BCL12" 2016 430 "2016-08-29"
"BCM65" 2014 396 "2014-06-30"
"BDB40" 2010 206 "2010-07-05"
"BDB40" 2016 431 "2016-07-04"
"BIM13" 2007 30 "2007-09-10"
"BIM13" 2013 392 "2013-10-21"
"BIM13" 2015 399 "2015-10-19"
"BIS40" 2008 71 "2008-09-15"
"BIS40" 2015 446 "2015-09-15"
"BLA40" 2008 53 "2008-09-29"
"BLC19" 2013 341 "2013-08-26"
"BLC19" 2018 552 "2018-07-08"
"BMC16" 2010 207 "2010-07-05"
"BMC16" 2018 555 "2018-07-04"
"BMS40" 2009 123 "2009-06-23"
"BMS40" 2016 477 "2016-06-06"
"BOR33" 2008 70 "2008-09-29"
"BOR33" 2017 499 "2017-10-02"
"BOR63" 2005 31 "2005-09-20"
"BOU27" 2012 245 "2012-07-16"
"BOU33" 2013 337 "2013-09-09"
"BOU43" 2005 32 "2005-09-14"
"BOU63" 2005 33 "2005-09-20"
"BOU73" 2010 208 "2010-09-27"
"BOU73" 2016 440 "2016-09-26"
"BOU88" 2010 209 "2010-09-07"
"BOU88" 2016 458 "2016-09-27"
"BOU89" 2010 210 "2010-06-01"
"BOU89" 2017 488 "2017-06-06"
"BRA47" 2015 402 "2015-06-09"
"BSA58" 2009 124 "2009-06-30"
"BSA58" 2017 490 "2017-06-26"
"BSF31" 2011 270 "2011-06-05"
"BSF31" 2018 528 "2018-09-10"
"BSJ32" 2011 272 "2011-07-06"
"BSJ32" 2017 496 "2017-07-07"
"BUL85" 2007 24 "2007-08-20"
"CAL2B" 2010 211 "2010-06-21"
"CAL2B" 2014 414 "2014-07-08"
"CAN32" 2011 273 "2011-07-07"
"CAN32" 2017 493 "2017-07-08"
"CAR35" 2010 212 "2010-09-14"
"CAR66" 2009 274 "2009-06-29"
"CAR83" 2008 73 "2008-09-16"
"CAS04" 2010 213 "2010-09-13"
"CAS04" 2015 419 "2015-09-07"
"CAS63" 2005 34 "2005-09-28"
"CAS63" 2012 379 "2012-07-25"
"CAU19" 2012 275 "2012-10-01"
"CAU19" 2016 461 "2016-08-04"
"CAZ40" 2005 63 "2005-08-21"
"CAZ40" 2015 403 "2015-09-07"
"CEB79" 2009 126 "2009-09-15"
"CEB79" 2014 436 "2014-09-08"
"CER21" 2009 127 "2009-06-02"
"CHA21" 2008 86 "2008-10-13"
"CHA21" 2014 363 "2014-09-08"
"CHA23" 2006 18 "2006-08-28"
"CHA25" 2010 215 "2010-06-21"
"CHA25" 2019 537 "2019-09-09"
"CHA38" 2010 216 "2010-08-23"
"CHA38" 2018 513 "2018-09-10"
"CHA39" 2007 2 "2007-10-19"
"CHA39" 2011 276 "2011-09-19"
"CHA39" 2017 489 "2017-09-18"
"CHA48" 2010 217 "2010-07-28"
"CHA48" 2016 486 "2016-09-19"
"CHA52" 2010 218 "2010-09-14"
"CHA52" 2016 434 "2016-08-16"
"CHA58" 2009 128 "2009-06-22"
"CHA63" 2005 36 "2005-09-26"
"CHA63" 2012 277 "2012-06-25"
"CHA63" 2018 534 "2018-06-19"
"CHA86" 2006 19 "2006-09-11"
"CHO04" 2012 278 "2012-07-23"
"COD2B" 2008 74 "2008-06-10"
"COD2B" 2018 515 "2018-05-29"
"COI39" 2010 219 "2010-07-05"
"COM23" 2012 376 "2012-09-10"
"CRE89" 2011 279 "2011-06-06"
"CRE89" 2017 491 "2017-06-12"
"DEV07" 2018 511 "2018-06-27"
"DRE29" 2012 529 "2012-10-15"
"DUC56" 2008 108 "2008-10-13"
"ECH33" 2007 52 "2007-09-18"
"ECH33" 2014 397 "2014-09-01"
"ECL28" 2012 250 "2012-09-03"
"ECL28" 2019 551 "2019-08-27"
"EGU36" 2011 280 "2011-08-29"
"ENC15" 2010 281 "2010-07-26"
"ENC15" 2016 456 "2016-08-22"
"ENT25" 2008 88 "2008-07-01"
"ENT25" 2014 364 "2014-09-15"
"EPT35" 2010 220 "2010-08-30"
"ESP04" 2010 221 "2010-09-27"
"ESP04" 2014 415 "2014-09-15"
"ESP04" 2019 544 "2019-09-09"
"EST11" 2010 222 "2010-07-19"
"EST11" 2018 525 "2018-06-25"
"EVJ59" 2008 102 "2008-02-04"
"EVJ59" 2013 345 "2013-09-23"
"FEY19" 2008 104 "2008-09-15"
"FEY19" 2016 462 "2016-07-01"
"FIG2A" 2009 129 "2009-06-16"
"FIG2A" 2015 420 "2015-06-09"
"FIL09" 2005 60 "2005-08-01"
"FIL09" 2015 404 "2015-08-25"
"GAB64" 2012 282 "2012-07-02"
"GAB64" 2017 500 "2017-07-03"
"GAR09" 2012 283 "2012-09-17"
"GAR09" 2018 527 "2018-09-17"
"GAS14" 2011 284 "2011-07-11"
"GDL44" 2008 85 "2008-07-08"
"GDL44" 2016 531 "2016-07-05"
"GEB69" 2009 130 "2009-06-08"
"GEB69" 2015 426 "2015-06-10"
"GEN82" 2012 285 "2012-06-19"
"GEN82" 2018 526 "2018-06-18"
"GER88" 2011 286 "2011-09-05"
"GER88" 2017 497 "2017-09-04"
"GIO40" 2011 287 "2011-06-21"
"GIO40" 2016 476 "2016-06-21"
"GLC39" 2009 131 "2009-05-25"
"GLC39" 2015 421 "2015-09-22"
"GOU03" 2009 132 "2009-09-07"
"GOU03" 2015 401 "2015-09-02"
"GOU22" 2009 288 "2009-09-21"
"GOU82" 2011 289 "2011-08-08"
"GOU82" 2017 494 "2017-07-03"
"GRA15" 2009 133 "2009-09-28"
"GRA15" 2014 360 "2014-09-08"
"GRA42" 2006 398 "2006-09-04"
"GRA42" 2013 352 "2013-09-09"
"GRA42" 2019 550 "2019-09-02"
"GRA85" 2009 134 "2009-07-15"
"GRA85" 2011 369 "2011-08-08"
"GRO21b" 2012 254 "2012-07-09"
"GUE22" 2013 530 "2013-07-08"
"HAG40" 2010 224 "2010-06-28"
"HAG40" 2017 474 "2017-06-27"
"HAR22" 2009 291 "2009-08-06"
"HAU19" 2011 292 "2011-09-26"
"ILA39" 2009 135 "2009-06-15"
"ILA39" 2016 442 "2016-10-03"
"ISS07" 2005 40 "2005-09-12"
"ISS07" 2009 136 "2009-07-06"
"ISS07" 2017 466 "2017-07-03"
"JAB77" 2011 293 "2011-07-19"
"JOU11" 2008 75 "2008-10-22"
"JOU11" 2014 416 "2014-09-29"
"JUG22" 2008 111 "2008-10-15"
"LAC33" 2012 294 "2012-09-10"
"LAD16" 2010 295 "2010-09-17"
"LAF38" 2009 137 "2009-09-14"
"LAF38" 2015 428 "2015-09-07"
"LAO81" 2005 61 "2005-07-20"
"LAO81" 2013 340 "2013-09-09"
"LAO81" 2018 553 "2018-08-20"
"LAR31" 2010 296 "2010-09-01"
"LAR31" 2015 449 "2015-07-31"
"LAS15" 2016 463 "2016-08-01"
"LAT10" 2006 3 "2006-06-13"
"LAT10" 2013 406 "2013-08-26"
"LAV16" 2011 297 "2011-07-25"
"LAV16" 2018 554 "2018-07-02"
"LAV23" 2011 298 "2011-07-04"
"LAV43" 2012 377 "2012-08-06"
"LDC21" 2008 87 "2008-09-01"
"LDC25" 2007 4 "2007-07-08"
"LDC25" 2013 357 "2013-09-02"
"LDC25" 2019 536 "2019-09-16"
"LDC51" 2012 252 "2012-09-03"
"LDC51" 2018 507 "2018-09-10"
"LDC63" 2013 355 "2013-09-23"
"LDC63" 2019 539 "2019-09-16"
"LEJ85" 2009 138 "2009-06-29"
"LEJ85" 2011 372 "2011-08-10"
"LEM74" 2010 225 "2010-09-07"
"LEM74" 2012 244 "2012-05-21"
"LEM74" 2016 441 "2016-10-10"
"LEM85" 2009 139 "2009-06-02"
"LEM85" 2011 371 "2011-08-24"
"LEO40" 2009 140 "2009-09-14"
"LEO40" 2015 447 "2015-10-13"
"LER27a" 2009 141 "2009-09-22"
"LER27a" 2013 346 "2013-09-24"
"LES24" 2011 299 "2011-07-23"
"LES24" 2017 495 "2017-08-01"
"LGM27" 2012 246 "2012-08-30"
"LGM39" 2005 41 "2005-07-24"
"LIE52" 2009 142 "2009-09-01"
"LIE52" 2015 412 "2015-09-22"
"LKW68" 2009 143 "2009-09-15"
"LKW68" 2015 400 "2015-09-14"
"LON88" 2010 226 "2010-08-30"
"LON88" 2016 459 "2016-09-19"
"LOU64" 2011 300 "2011-06-08"
"LOU64" 2017 501 "2017-06-06"
"LPC38" 2007 8 "2007-08-26"
"LPC38" 2013 349 "2013-08-26"
"LPC38" 2019 547 "2019-08-26"
"LRO39" 2008 90 "2008-09-22"
"LRO39" 2014 365 "2014-10-06"
"LSF43" 2012 378 "2012-08-13"
"LSG81" 2013 338 "2013-07-01"
"LSG81" 2019 543 "2019-07-01"
"LUN32" 2009 144 "2009-06-08"
"LUN32" 2016 432 "2016-06-20"
"MAD55" 2006 1 "2006-09-18"
"MAD55" 2011 301 "2011-09-12"
"MAD55" 2017 498 "2017-08-28"
"MAR35" 2007 23 "2007-08-01"
"MAU12" 2008 302 "2008-08-25"
"MAU12" 2015 405 "2015-06-29"
"MEO23" 2008 55 "2008-09-09"
"MER85" 2007 62 "2007-10-01"
"MIC68" 2010 227 "2010-08-16"
"MIC68" 2016 455 "2016-08-22"
"MIE32" 2005 59 "2005-06-22"
