Latin name	type
Abramis brama	native
Acipenser ruthenus	non-indigenous
Alburnoides bipunctatus	native
Alburnus alburnus	native
Ameiurus melas	non-indigenous
Anguilla anguilla	native
Barbatula barbatula	native
Barbus barbus	native
Blicca bjoerkna	native
Carassius auratus	non-indigenous
Carassius carassius	non-indigenous
Carassius gibelio	non-indigenous
Chelon auratus	native
Chelon ramada	native
Chondrostoma nasus	native
Cobitis taenia	native
Coregonus lavaretus	native
Cottus gobio	native
Cyprinus carpio	non-indigenous
Esox lucius	native
Gambusia affinis	non-indigenous
Gasterosteus aculeatus	native
Gobio gobio	native
Gymnocephalus cernua	native
Hypophthalmichthys molitrix	non-indigenous
Lepomis gibbosus	non-indigenous
Leucaspius delineatus	non-indigenous
Leuciscus burdigalensis	native
Leuciscus idus	non-indigenous
Leuciscus leuciscus	native
Lota lota	native
Micropterus salmoides	non-indigenous
Neogobius melanostomus	non-indigenous
Oncorhynchus mykiss	non-indigenous
Parachondrostoma toxostoma	native
Perca fluviatilis	native
Phoxinus phoxinus	native
Pseudorasbora parva	non-indigenous
Rhodeus amarus	native
Rutilus rutilus	native
Salaria fluviatilis	native
Salmo trutta	native
Salvelinus alpinus	native
Salvelinus fontinalis	non-indigenous
Salvelinus namaycush	non-indigenous
Sander lucioperca	non-indigenous
Scardinius erythrophthalmus	native
Scardinius hesperidicus	non-indigenous
Silurus glanis	non-indigenous
Squalius cephalus	native
Telestes souffia	native
Thymallus thymallus	native
Tinca tinca	native
